date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI
2011-04-07,11110,Thursday,6,4,2011,d_69,,,,,1,1,0
2011-04-08,11110,Friday,7,4,2011,d_70,,,,,1,0,1
2011-04-09,11111,Saturday,1,4,2011,d_71,,,,,1,1,1
2011-04-10,11111,Sunday,2,4,2011,d_72,,,,,1,0,1
2011-04-11,11111,Monday,3,4,2011,d_73,,,,,0,1,1
2011-04-12,11111,Tuesday,4,4,2011,d_74,,,,,0,1,0
2011-04-13,11111,Wednesday,5,4,2011,d_75,,,,,0,1,0
2011-04-14,11111,Thursday,6,4,2011,d_76,,,,,0,0,1
2011-04-15,11111,Friday,7,4,2011,d_77,,,,,0,1,1
2011-04-16,11112,Saturday,1,4,2011,d_78,,,,,0,0,0
2011-04-17,11112,Sunday,2,4,2011,d_79,,,,,0,0,0
2011-04-18,11112,Monday,3,4,2011,d_80,,,,,0,0,1
2011-04-19,11112,Tuesday,4,4,2011,d_81,,,,,0,0,0
2011-04-20,11112,Wednesday,5,4,2011,d_82,,,,,0,0,0
2011-04-21,11112,Thursday,6,4,2011,d_83,,,,,0,0,0
2011-04-22,11112,Friday,7,4,2011,d_84,,,,,0,0,0
2011-04-23,11113,Saturday,1,4,2011,d_85,,,,,0,0,0
2011-04-24,11113,Sunday,2,4,2011,d_86,,,,,0,0,0
2011-04-25,11113,Monday,3,4,2011,d_87,,,,,0,0,0
2011-04-26,11113,Tuesday,4,4,2011,d_88,,,,,0,0,0
2011-04-27,11113,Wednesday,5,4,2011,d_89,,,,,0,0,0
2011-04-28,11113,Thursday,6,4,2011,d_90,,,,,0,0,0
2011-04-29,11113,Friday,7,4,2011,d_91,,,,,0,0,0
2011-04-30,11114,Saturday,1,4,2011,d_92,,,,,0,0,0
2011-05-01,11114,Sunday,2,5,2011,d_93,,,,,1,1,0
2011-05-02,11114,Monday,3,5,2011,d_94,,,,,1,0,1
2011-05-03,11114,Tuesday,4,5,2011,d_95,,,,,1,1,1
2011-05-04,11114,Wednesday,5,5,2011,d_96,,,,,1,0,0
2011-05-05,11114,Thursday,6,5,2011,d_97,,,,,1,1,1
2011-05-06,11114,Friday,7,5,2011,d_98,,,,,1,1,0
2011-05-07,11115,Saturday,1,5,2011,d_99,,,,,1,1,0
2011-05-08,11115,Sunday,2,5,2011,d_100,,,,,1,0,1
